Date,Close/Last,Volume,Open,High,Low
12/12/2023,63.90,2938045,61.85,63.97,61.81
12/11/2023,62.65,3585240,60.44,62.69,60.15
12/08/2023,61.11,3305501,59.24,61.25,58.917
12/07/2023,59.60,3025406,58.20,59.91,57.9812
12/06/2023,57.54,4596991,60.15,60.41,57.45
12/05/2023,59.07,4278947,57.05,59.295,57.05
12/04/2023,58.08,3924695,58.44,58.44,56.11
12/01/2023,60.25,5299695,59.34,60.5995,58.54
11/30/2023,59.82,4198131,60.34,60.63,58.41
11/29/2023,59.75,3772220,60.79,61.63,59.59
11/28/2023,59.56,3347694,58.63,60.05,58.63
11/27/2023,59.23,2877649,59.03,60.28,58.71
11/24/2023,59.28,1883393,59.31,59.47,58.61
11/22/2023,59.68,4005947,60.13,61.19,59.19
11/21/2023,58.92,3334828,59.61,59.84,58.28
11/20/2023,60.48,4322938,58.03,60.88,58.03
11/17/2023,57.92,4555808,57.81,58.5878,57.17
11/16/2023,58.33,4068608,57.13,58.52,56.80
11/15/2023,57.48,3688760,57.99,58.30,56.84
11/14/2023,57.30,5355678,56.49,57.72,56.01
11/13/2023,54.04,4328672,54.33,54.49,53.37
11/10/2023,55.00,4982322,52.15,55.15,51.83
11/09/2023,51.10,5542550,51.99,53.19,50.87
11/08/2023,51.86,3872096,51.46,52.12,50.81
11/07/2023,51.04,4029560,49.75,51.44,49.56
11/06/2023,49.39,2898482,48.55,49.44,48.20
11/03/2023,48.43,5087203,47.10,49.04,46.575
11/02/2023,47.08,5181179,46.085,47.17,45.80
11/01/2023,44.80,5333542,42.59,44.98,42.59
10/31/2023,42.36,5291486,41.51,42.475,40.56
10/30/2023,41.47,4539503,40.8999,41.9202,40.47
10/27/2023,40.18,3589050,40.25,41.41,39.69
10/26/2023,39.55,7115191,42.19,42.72,39.02
10/25/2023,42.03,5072236,44.05,44.32,41.63
10/24/2023,43.55,4410277,43.15,43.73,42.16
10/23/2023,42.67,5520647,41.74,43.98,41.03
10/20/2023,42.53,5622574,44.80,44.84,42.42
10/19/2023,44.88,8438533,46.19,47.12,44.63
10/18/2023,45.62,5248386,46.11,47.29,45.10
10/17/2023,47.17,4633407,46.00,47.90,45.00
10/16/2023,47.85,2764751,46.76,48.47,46.72
10/13/2023,46.50,4038755,48.76,49.11,46.00
10/12/2023,48.58,4773816,48.90,50.12,47.53
10/11/2023,48.50,3325079,47.781,48.58,47.20
10/10/2023,47.26,3670179,47.13,48.38,46.73
10/09/2023,47.05,3252693,45.53,47.25,44.83
10/06/2023,46.35,5346141,42.99,46.9101,42.60
10/05/2023,43.92,4209479,43.75,44.12,42.35
10/04/2023,43.75,4736351,42.37,44.11,42.37
10/03/2023,42.20,4617111,43.64,44.60,41.53
10/02/2023,44.52,3356409,43.13,44.86,42.9693
09/29/2023,43.09,5266283,43.94,44.63,42.68
09/28/2023,42.71,3458350,41.16,43.50,40.64
09/27/2023,41.86,2723595,42.17,42.51,40.61
09/26/2023,41.68,2850421,43.21,43.24,41.22
09/25/2023,44.11,1480782,43.20,44.25,42.99
09/22/2023,43.64,2273239,44.00,44.85,43.36
09/21/2023,43.40,3490085,43.99,45.01,43.34
09/20/2023,45.52,2993807,48.14,48.34,45.47
09/19/2023,47.83,2096140,47.19,48.155,46.48
09/18/2023,47.87,1666226,46.74,48.3473,46.74
09/15/2023,47.26,2835200,49.66,49.66,46.83
09/14/2023,50.16,2135508,49.96,50.5099,49.06
09/13/2023,49.15,1589852,48.93,49.90,48.29
09/12/2023,48.71,2679112,50.30,50.82,48.4901
09/11/2023,51.57,1659562,52.11,52.27,50.27
09/08/2023,50.83,1782392,50.58,51.79,50.425
09/07/2023,50.51,2020808,50.32,50.85,49.32
09/06/2023,52.88,2630704,54.13,54.38,51.885
09/05/2023,54.61,2244003,53.57,55.13,53.11
09/01/2023,54.02,1861765,54.77,54.83,53.26
08/31/2023,53.56,1788095,53.16,54.24,53.05
08/30/2023,52.87,2092810,51.63,53.0599,51.22
08/29/2023,51.68,2993182,48.32,51.88,48.23
08/28/2023,48.80,2681353,48.65,49.11,47.69
08/25/2023,47.71,3943001,46.74,48.45,45.58
08/24/2023,46.26,3905181,51.65,51.65,46.195
08/23/2023,49.78,3044680,47.49,50.21,47.42
08/22/2023,47.24,3548768,48.74,48.78,46.94
08/21/2023,47.44,2893052,45.58,47.71,45.45
08/18/2023,44.85,3282033,43.27,45.41,43.23
08/17/2023,44.73,3043036,46.55,46.8989,44.51
08/16/2023,46.10,2652973,47.22,47.94,46.06
08/15/2023,47.43,1979572,48.37,48.98,47.11
08/14/2023,48.93,1947660,46.50,48.94,46.1827
08/11/2023,46.72,2731898,46.78,47.54,46.21
08/10/2023,47.83,4522733,48.93,50.13,47.11
08/09/2023,47.79,2803866,49.97,49.97,47.32
08/08/2023,49.75,3365977,49.81,50.00,48.2317
08/07/2023,50.96,1944364,51.07,51.70,49.85
08/04/2023,50.55,2745952,52.12,53.13,50.31
08/03/2023,52.79,2020302,52.16,53.69,52.02
08/02/2023,53.43,3325957,56.16,56.28,52.845
08/01/2023,57.75,947128,56.98,58.11,56.455
07/31/2023,57.46,1055349,57.20,57.68,56.51
07/28/2023,57.10,1246126,56.36,57.61,56.05
07/27/2023,54.90,1828698,57.53,58.15,54.16
07/26/2023,55.42,1851414,55.71,56.3201,54.23
07/25/2023,57.74,1430384,56.26,58.32,56.26
07/24/2023,55.90,1134689,56.30,56.70,55.24
07/21/2023,55.55,1515381,56.80,57.57,55.42
07/20/2023,55.70,2559371,57.98,58.89,55.18
07/19/2023,59.31,2122335,60.40,60.96,58.64
07/18/2023,59.78,2248187,57.42,60.62,56.50
07/17/2023,57.83,1640358,55.97,58.30,55.83
07/14/2023,55.67,1839683,56.37,57.6899,55.2101
07/13/2023,55.99,1539692,54.89,56.31,54.68
07/12/2023,53.92,2229755,53.64,54.6597,52.85
07/11/2023,52.17,1112397,52.18,52.32,50.6201
07/10/2023,51.83,1052115,50.88,51.84,50.29
07/07/2023,51.41,1423563,51.79,53.33,51.36
07/06/2023,52.13,2633814,51.06,52.31,50.58
07/05/2023,52.65,1723181,52.52,53.8201,52.39
07/03/2023,53.63,949477,53.90,54.04,52.8106
06/30/2023,54.02,2315728,53.11,54.40,52.98
06/29/2023,51.63,1500780,51.50,51.88,50.66
06/28/2023,51.32,2083338,50.38,52.16,50.31
06/27/2023,51.27,2061329,49.09,51.62,48.86
06/26/2023,48.36,1238619,49.58,50.93,48.325
06/23/2023,49.49,1677820,49.21,50.40,48.89
06/22/2023,51.27,1993270,49.30,51.27,49.30
06/21/2023,49.99,2448536,51.67,52.0199,49.57
06/20/2023,52.38,1679748,52.46,53.51,51.55
06/16/2023,53.50,2613346,56.53,56.53,53.3581
06/15/2023,54.90,3667977,52.22,55.60,52.19
06/14/2023,52.86,3792045,51.14,52.95,50.60
06/13/2023,51.32,2913134,51.63,52.04,50.092
06/12/2023,50.41,2179555,48.28,50.46,48.03
06/09/2023,47.35,1918569,47.25,48.732,46.89
06/08/2023,46.69,1783006,45.36,46.90,45.34
06/07/2023,45.26,2531318,47.20,48.21,44.96
06/06/2023,47.40,1876728,47.00,47.70,46.38
06/05/2023,47.46,1946528,48.16,49.14,47.1629
06/02/2023,48.33,2110300,48.328,48.95,47.28
06/01/2023,47.48,2141526,45.75,48.08,45.21
05/31/2023,46.13,2167732,46.44,47.80,46.05
05/30/2023,47.32,3785443,48.67,49.34,47.03
05/26/2023,46.59,3206700,43.25,46.82,43.24
05/25/2023,42.99,2305630,41.67,43.4399,41.00
05/24/2023,38.56,2226732,38.60,39.03,37.93
05/23/2023,39.45,1440024,40.66,41.15,39.39
05/22/2023,41.25,1320363,40.56,41.58,40.49
05/19/2023,41.04,1849595,41.16,41.345,40.62
05/18/2023,41.16,2793509,38.93,41.30,38.90
05/17/2023,38.78,1712414,37.75,38.96,37.25
05/16/2023,37.31,1555738,36.98,37.90,36.97
05/15/2023,37.18,1435290,36.47,37.20,36.01
05/12/2023,36.31,1456780,36.58,36.79,35.47
05/11/2023,36.46,2034389,36.77,36.79,35.72
05/10/2023,36.98,2804765,36.60,37.25,35.96
05/09/2023,35.71,1063607,35.94,36.15,35.5975
05/08/2023,36.56,1118775,36.37,36.66,35.89
05/05/2023,36.62,2459474,35.10,36.99,34.93
05/04/2023,34.11,2458992,34.18,34.80,33.68
05/03/2023,34.61,3466239,35.64,36.32,34.57
05/02/2023,35.53,2637907,36.51,36.79,34.96
05/01/2023,36.56,1437902,36.43,37.07,36.22
04/28/2023,36.49,2373229,35.42,36.51,35.24
04/27/2023,35.36,2610991,33.72,35.45,33.50
04/26/2023,33.30,2978004,33.60,34.28,33.06
04/25/2023,31.87,2210215,33.54,33.74,31.84
04/24/2023,34.06,1469388,34.16,34.58,33.29
04/21/2023,34.51,1413446,34.47,34.70,33.84
04/20/2023,34.90,2209693,34.60,35.93,34.413
04/19/2023,35.61,1335199,35.00,35.78,34.80
04/18/2023,35.93,2001862,36.42,36.6985,35.46
04/17/2023,35.61,1524382,35.33,35.84,34.78
04/14/2023,35.23,2259166,35.26,36.11,34.30
04/13/2023,35.87,1888237,34.35,36.02,34.20
04/12/2023,34.03,2260591,35.21,35.56,33.82
04/11/2023,34.60,1202879,35.46,35.4654,34.42
04/10/2023,35.59,2099567,34.68,35.61,34.02
04/06/2023,35.67,1661222,34.31,35.8016,33.8596
04/05/2023,35.13,2380921,35.79,35.94,34.3371
04/04/2023,36.40,2301484,37.18,37.5485,35.97
04/03/2023,36.99,2838814,36.56,37.14,35.96
03/31/2023,37.18,2404887,35.54,37.275,35.39
03/30/2023,35.66,2776054,35.43,35.8299,34.97
03/29/2023,34.50,2301321,33.59,34.72,33.54
03/28/2023,32.48,1700323,32.76,32.78,31.58
03/27/2023,32.96,2009719,33.88,34.21,32.6829
03/24/2023,33.73,3081144,33.21,33.76,32.50
03/23/2023,33.52,3782190,33.17,34.78,32.57
03/22/2023,31.94,4395757,32.93,34.90,31.92
03/21/2023,32.93,1946015,32.768,33.11,31.68
03/20/2023,32.25,2527692,31.83,32.375,31.08
03/17/2023,32.03,3790844,32.43,33.16,31.45
03/16/2023,32.16,4072712,29.35,32.28,29.08
03/15/2023,29.66,5982840,28.75,29.78,28.23
03/14/2023,29.62,3324703,28.84,29.93,28.45
03/13/2023,27.71,6360043,26.75,28.87,26.27
03/10/2023,27.31,6778673,28.74,28.91,26.96
03/09/2023,28.84,3613147,30.448,31.284,28.67
03/08/2023,30.15,2565882,29.73,30.26,29.20
03/07/2023,29.43,3213152,30.64,30.85,29.20
03/06/2023,30.60,3032963,30.70,31.81,30.50
03/03/2023,30.13,2300649,28.91,30.15,28.79
03/02/2023,28.35,2119423,26.98,28.60,26.97
03/01/2023,27.34,2756542,27.97,28.13,27.08
02/28/2023,27.98,1885865,27.94,28.77,27.73
02/27/2023,28.16,2112419,28.564,28.98,28.02
02/24/2023,27.73,3370460,27.92,28.11,27.23
02/23/2023,29.30,3776570,29.58,29.63,28.12
02/22/2023,27.94,2735459,28.30,28.6183,27.54
02/21/2023,28.09,3047921,29.08,29.55,27.99
02/17/2023,30.24,4293287,30.61,30.84,29.42
02/16/2023,31.42,3625319,31.69,32.8399,31.36
02/15/2023,33.17,2896750,32.238,33.19,31.91
02/14/2023,32.65,5450057,31.93,33.29,31.28
02/13/2023,32.34,3367601,31.12,32.55,31.05
02/10/2023,30.75,3278946,30.57,31.07,29.88
02/09/2023,31.28,3518997,33.02,33.36,30.8401
02/08/2023,31.76,4560284,33.03,33.66,31.55
02/07/2023,32.96,5906960,30.75,33.29,30.75
02/06/2023,30.69,3204112,30.87,31.49,30.31
02/03/2023,31.84,6133559,30.89,33.40,30.81
02/02/2023,32.66,4965542,31.72,33.18,31.31
02/01/2023,30.20,5868293,28.19,30.9096,27.75
01/31/2023,28.23,2711074,27.10,28.25,27.03
01/30/2023,27.11,2880312,27.78,28.12,27.03
01/27/2023,28.72,3434812,27.81,29.34,27.81
01/26/2023,28.39,4429096,28.02,28.44,27.07
01/25/2023,27.09,4447073,25.95,27.33,25.18
01/24/2023,27.31,3032015,26.97,27.63,26.77
01/23/2023,27.35,5276949,25.937,27.81,25.74
01/20/2023,25.61,3098258,24.09,25.66,23.80
01/19/2023,23.75,2722995,23.98,24.40,23.445
01/18/2023,24.60,4502388,26.045,26.42,24.53
01/17/2023,25.57,2296590,25.18,26.02,25.03
01/13/2023,25.24,2673769,24.37,25.35,24.14
01/12/2023,25.04,5060574,24.66,25.39,23.73
01/11/2023,24.49,3175370,23.57,24.52,23.31
01/10/2023,23.29,2644607,22.702,23.42,22.35
01/09/2023,22.87,4290493,22.71,24.125,22.67
01/06/2023,22.12,4329104,20.94,22.42,20.15
01/05/2023,20.37,3071705,21.26,21.33,20.255
01/04/2023,21.65,3203369,21.81,22.04,20.915
01/03/2023,21.48,3803743,22.77,23.27,21.00
12/30/2022,22.10,3239511,21.465,22.14,21.10
12/29/2022,22.20,3353071,21.17,22.44,21.17
12/28/2022,20.63,3329562,21.56,22.11,20.54
12/27/2022,21.69,2799101,22.20,22.21,21.2771
12/23/2022,22.34,2458624,21.84,22.37,21.27
12/22/2022,22.30,5521986,23.17,23.25,21.075
12/21/2022,24.11,4484355,23.26,24.421,23.10
12/20/2022,22.96,3468275,22.48,23.32,22.1699
12/19/2022,22.93,3379788,23.99,24.07,22.44
12/16/2022,23.90,3837451,24.60,25.05,23.515
12/15/2022,24.92,4089989,26.66,26.9699,24.60
12/14/2022,28.05,8065644,28.66,29.7001,27.04
